HBA,HBD,HBA ratio,HBD ratio,Alpha,Bita,pi*,Solvent
[Acetylcholine][Cl],Pentanoic Acid,1,5,0.72,0.56,0.84,Deep eutectic
[Acetylcholine][Cl],Pentanoic Acid,1,6,0.73,0.54,0.82,Deep eutectic
[Acetylcholine][Cl],Hexanoic Acid,1,2,0.86,0.76,0.71,Deep eutectic
[Acetylcholine][Cl],Hexanoic Acid,1,3,0.85,0.72,0.73,Deep eutectic
[Acetylcholine][Cl],Hexanoic Acid,1,4,0.85,0.66,0.73,Deep eutectic
[Acetylcholine][Cl],Hexanoic Acid,1,5,0.87,0.69,0.7,Deep eutectic
[Acetylcholine][Cl],Hexanoic Acid,1,6,0.87,0.66,0.69,Deep eutectic
[Acetylcholine][Cl],Octanoic Acid,1,2,0.94,0.79,0.65,Deep eutectic
[Acetylcholine][Cl],Octanoic Acid,1,3,0.94,0.76,0.64,Deep eutectic
[Acetylcholine][Cl],Octanoic Acid,1,4,0.94,0.75,0.64,Deep eutectic
[Acetylcholine][Cl],Octanoic Acid,1,5,0.95,0.74,0.63,Deep eutectic
[Acetylcholine][Cl],Octanoic Acid,1,6,0.96,0.7,0.62,Deep eutectic
